Period,Term,Information Type,Information
August 2020,September 2019 to August 2020,Sales Comments,"August 2020 same-store sales including online sales increased by 29.8% year on year while total sales including online sales increased by 29.9%. Same-store sales increased sharply year on year in August as the record-setting summer heatwave generated strong sales of AIRism products, UT T-shirts, and other core Summer ranges and our products designed to satisfy stay-at-home demand and our AIRism masks proved popular."
July 2020,September 2019 to August 2020,Sales Comments,"July 2020 same-store sales including online sales increased by 4.4% year on year while total sales including online sales increased by 4.7%. Despite the long spell of rain and low temperatures experienced during the month, same-store sales rose year on year in July on the back of strong sales of items  that perfectly suited the recent demand for stay-at-home clothing."
June 2020,September 2019 to August 2020,Sales Comments,June 2020 same-store sales including online sales increased by 26.2% year on year while total sales including online sales increased by 26.2%. Same-store sales increased year on year in June thanks to higher demand for Summer ranges as the temperature rose above the previous year’s level  from the beginning of the month and a strong result generated by our UNIQLO anniversary sale. 
May 2020,September 2019 to August 2020,Sales Comments,"May 2020 same-store sales including online sales decreased by 18.1% year on year while total sales including online sales decreased by 19.7%. Same-store sales declined by a considerable 18.1% year on year in May as approximately 20% of our stores were closed temporarily on average across the month and we were unable to conduct our regular sales promotions for Japan’s annual Golden Week holiday and UNIQLO anniversaries. However, sales of Summer ranges proved strong and our stores that were open for business experienced many days when sales exceeded the previous year’s levels. In addition, e-commerce sales continued strong in May, rising considerably year on year. "
April 2020,September 2019 to August 2020,Sales Comments,"April 2020 same-store sales including online sales decreased by 56.5% year on year while total sales including online sales decreased by 57.7%. Same-store sales declined significantly year on year in April and customer visits dropped sharply. Both measures were adversely impacted by the temporarily  closure or reduction in operating hours at more of our stores, and consumers deciding to stay at home to combat COVID-19."
March 2020,September 2019 to August 2020,Sales Comments,March 2020 same-store sales including online sales decreased by 27.8% year on year while total sales including online sales decreased by 28.1%. Same-store sales declined year on year in March with customer visits falling sharply due to the impact of COVID-19.
February 2020,September 2019 to August 2020,Sales Comments,February 2020 same-store sales including online sales increased by 0.8% year on year while total sales including online sales increased by 0.3%. Same store sales rose year on year in February following a favorable launch of Spring ranges.
January 2020,September 2019 to August 2020,Sales Comments,January 2020 same-store sales including online sales decreased by 7.9% year on year while total sales including online sales decreased by 8.1%. Same-store sales dipped in January as warm weather throughout the month dampened sales of thermal clothing. 
December 2019,September 2019 to August 2020,Sales Comments,December 2019 same-store sales including online sales decreased by 5.3% year on year while total sales including online sales decreased by 5.5%. Same-store sales declined year on year in December after persistently high temperatures from the middle of the month onwards resulted in sluggish sales of cold-weather clothing.
November 2019,September 2019 to August 2020,Sales Comments,"November 2019 same-store sales including online sales decreased by 5.5% year on year while total sales including online sales decreased by 5.8%. Same-store sales declined year on year in November. While sales rose in the early part of the month, warmer weather then stifled sales of thermal clothing around the time of our anniversary sale when sales are typically the strongest."
October 2019,September 2019 to August 2020,Sales Comments,"October 2019 same-store sales including online sales decreased by 1.9% year on year while total sales including online sales decreased by 2.6%. Same-store sales dipped year on year in October due to persistently warm weather throughout the month,  the impact of Typhoon Hagibis and heavy rainfall on weekends."
September 2019,September 2019 to August 2020,Sales Comments,September 2019 same-store sales including online sales decreased by 4.2% year on year while total sales including online sales decreased by 4.3%. Same-store sales dipped year on year in September due to persistently warm weather throughout the month.
August 2020,September 2019 to August 2020,Other Information,"At the end of August, a total of six stores remained temporarily closed and 91 stores were operating shorter working hours due to COVID-19. Stores that were either open for fewer hours or temporarily closed have not been excluded from the total number of same stores or own stores in the monthly sales data  calculations."
